timestamp,date,time,day_of_week,month,device_name,state,temperature
2025-08-31 00:00:00,2025-08-31,00:00,Sunday,August,TV,0,17.8
2025-08-31 00:00:00,2025-08-31,00:00,Sunday,August,Washing Machine,0,17.8
2025-08-31 00:00:00,2025-08-31,00:00,Sunday,August,AC,0,17.8
2025-08-31 00:00:00,2025-08-31,00:00,Sunday,August,Refrigerator,1,17.8
2025-08-31 00:00:00,2025-08-31,00:00,Sunday,August,Microwave,0,17.8
2025-08-31 00:00:00,2025-08-31,00:00,Sunday,August,Water Heater,1,17.8
2025-08-31 00:00:00,2025-08-31,00:00,Sunday,August,Lights,0,17.8
2025-08-31 00:00:00,2025-08-31,00:00,Sunday,August,Fan,0,17.8
2025-08-31 00:00:00,2025-08-31,00:00,Sunday,August,Dishwasher,0,17.8
2025-08-31 00:00:00,2025-08-31,00:00,Sunday,August,Electric Stove,0,17.8
2025-08-31 00:30:00,2025-08-31,00:30,Sunday,August,TV,0,17.4
2025-08-31 00:30:00,2025-08-31,00:30,Sunday,August,Washing Machine,0,17.4
2025-08-31 00:30:00,2025-08-31,00:30,Sunday,August,AC,0,17.4
2025-08-31 00:30:00,2025-08-31,00:30,Sunday,August,Refrigerator,1,17.4
2025-08-31 00:30:00,2025-08-31,00:30,Sunday,August,Microwave,0,17.4
2025-08-31 00:30:00,2025-08-31,00:30,Sunday,August,Water Heater,0,17.4
2025-08-31 00:30:00,2025-08-31,00:30,Sunday,August,Lights,0,17.4
2025-08-31 00:30:00,2025-08-31,00:30,Sunday,August,Fan,0,17.4
2025-08-31 00:30:00,2025-08-31,00:30,Sunday,August,Dishwasher,0,17.4
2025-08-31 00:30:00,2025-08-31,00:30,Sunday,August,Electric Stove,1,17.4
2025-08-31 01:00:00,2025-08-31,01:00,Sunday,August,TV,0,17.0
2025-08-31 01:00:00,2025-08-31,01:00,Sunday,August,Washing Machine,0,17.0
2025-08-31 01:00:00,2025-08-31,01:00,Sunday,August,AC,0,17.0
2025-08-31 01:00:00,2025-08-31,01:00,Sunday,August,Refrigerator,1,17.0
2025-08-31 01:00:00,2025-08-31,01:00,Sunday,August,Microwave,0,17.0
2025-08-31 01:00:00,2025-08-31,01:00,Sunday,August,Water Heater,1,17.0
2025-08-31 01:00:00,2025-08-31,01:00,Sunday,August,Lights,0,17.0
2025-08-31 01:00:00,2025-08-31,01:00,Sunday,August,Fan,0,17.0
2025-08-31 01:00:00,2025-08-31,01:00,Sunday,August,Dishwasher,0,17.0
2025-08-31 01:00:00,2025-08-31,01:00,Sunday,August,Electric Stove,0,17.0
2025-08-31 01:30:00,2025-08-31,01:30,Sunday,August,TV,1,16.6
2025-08-31 01:30:00,2025-08-31,01:30,Sunday,August,Washing Machine,0,16.6
2025-08-31 01:30:00,2025-08-31,01:30,Sunday,August,AC,0,16.6
2025-08-31 01:30:00,2025-08-31,01:30,Sunday,August,Refrigerator,1,16.6
2025-08-31 01:30:00,2025-08-31,01:30,Sunday,August,Microwave,0,16.6
2025-08-31 01:30:00,2025-08-31,01:30,Sunday,August,Water Heater,0,16.6
2025-08-31 01:30:00,2025-08-31,01:30,Sunday,August,Lights,0,16.6
2025-08-31 01:30:00,2025-08-31,01:30,Sunday,August,Fan,0,16.6
2025-08-31 01:30:00,2025-08-31,01:30,Sunday,August,Dishwasher,0,16.6
